registroDate1;registrotime1;registroFloat1;registroFloat2
08102017;17:15:00;1495233.25;1161514
08102017;17:20:00;1596069.75;1261763.25
08102017;17:25:00;1562783.25;1.230.815.875
08102017;17:30:00;1508587.25;1170522.75
08102017;17:35:00;1.522.610.375;1.187.214.125
08102017;17:40:00;1516446.25;1176261.75
08102017;17:45:00;1.517.961.625;1181120.5
08102017;17:50:00;1.517.580.375;1182612
08102017;17:55:00;1523251.25;1.184.376.875
08102017;18:00:00;1508902.5;1172402
08102017;18:05:00;1482795;1.147.083.875
08102017;18:10:00;1465522.75;1126825.5
08102017;18:15:00;1599597;1.218.429.125
08102017;18:20:00;1695006.75;1299083.25
08102017;18:25:00;1697225;1288091.25
08102017;18:30:00;1.810.651.375;1404664.25
08102017;18:35:00;1728486.25;1311507.5
08102017;18:40:00;1787452.5;1380940
08102017;18:45:00;1906952;1501726.75
08102017;18:50:00;1890531.5;1.488.589.125
08102017;18:55:00;1834083;1.430.552.125
08102017;19:00:00;1.717.957.125;1314961.25
08102017;19:05:00;1.689.113.125;1.292.596.875
08102017;19:10:00;1604905.25;1250853.5
08102017;19:15:00;1575412.75;1.234.797.625
08102017;19:20:00;1864678.5;1478615
08102017;19:25:00;2.038.982.625;1.527.949.875
08102017;19:30:00;2.040.620.375;1.540.520.375
08102017;19:35:00;2034379;1.537.618.625
08102017;19:40:00;1.920.426.125;1.416.119.375
08102017;19:45:00;1.943.083.875;1445352
08102017;19:50:00;1950565.75;1.448.810.625
08102017;19:55:00;1.960.135.625;1.451.992.875
08102017;20:00:00;1.903.309.625;1404493.5
08102017;20:05:00;2029788.75;1.532.291.125
08102017;20:10:00;1.909.361.125;1461621.25
08102017;20:15:00;1.871.431.125;1374610.75
08102017;20:20:00;1860969;1359970.5
08102017;20:25:00;1.897.453.625;1407706.75
08102017;20:30:00;1621167;1.221.005.875
08102017;20:35:00;1.668.796.125;1.267.019.625
08102017;20:40:00;1788468.75;1.403.923.125
08102017;20:45:00;1735685;1.340.199.875
08102017;20:50:00;1699461.25;1313211.25
08102017;20:55:00;1.559.887.625;1181115.75
08102017;21:00:00;1.583.175.625;1.193.488.125
08102017;21:05:00;1.534.492.375;1.162.770.125
08102017;21:10:00;1.607.078.875;1.221.590.125
08102017;21:15:00;1.636.046.875;1232850
08102017;21:20:00;1639305.25;1235564.75
08102017;21:25:00;1653323.25;1.268.852.375
08102017;21:30:00;1.641.321.125;1260678
08102017;21:35:00;1.606.563.625;1225816.75
08102017;21:40:00;1608014.25;1.220.286.375
08102017;21:45:00;1499919.5;1.131.516.875
08102017;21:50:00;1579861.25;1.202.326.125
08102017;21:55:00;1546346;1183491.25
08102017;22:00:00;1.611.991.125;1.217.767.375
08102017;22:05:00;1614755.25;1.213.976.875
08102017;22:10:00;1662327;1256925.75
08102017;22:15:00;1.710.908.625;1.299.022.375
08102017;22:20:00;1738609.5;1.330.375.125
08102017;22:25:00;1756091.5;1350826.75
08102017;22:30:00;1806242.75;1407030.5
08102017;22:35:00;1.791.868.125;1.397.168.125
08102017;22:40:00;1845737.5;1467387.5
08102017;22:45:00;1793558;1.405.800.125
08102017;22:50:00;1802457.5;1415450
08102017;22:55:00;1723166.75;1.337.025.625
08102017;23:00:00;1693305.25;1.307.771.125
08102017;23:05:00;1720812;1338288.75
08102017;23:10:00;1.707.341.625;1316511.75
08102017;23:15:00;1.713.066.625;1327385.75
08102017;23:20:00;1.726.718.375;1.345.516.875
08102017;23:25:00;1678121.25;1286741.25
08102017;23:30:00;1675772.25;1.280.841.125
08102017;23:35:00;1751570.75;1331787.75
08102017;23:40:00;1959127.25;1455589.5
08102017;23:45:00;1.942.832.875;1449775.5
08102017;23:50:00;1.936.351.125;1438300.5
08102017;23:55:00;1.949.360.125;1453558
10102017;00:00:00;1973699.75;1.487.025.125
10102017;00:05:00;1971740.5;1491909.25
10102017;00:10:00;1.983.819.625;1506996.5
10102017;00:15:00;1943651;1455255.75
10102017;00:20:00;1.941.019.125;1.450.188.125
10102017;00:25:00;1.947.570.375;1.451.890.875
