registroDate1;registrotime1;registroFloat1;registroFloat2
20171102;05:20:00;588.828.125;46.581.654.166.667
20171102;05:25:00;600043.5;47.821.254.166.667
20171102;05:30:00;66.945.695.833.333;55.038.908.333.333
20171102;05:35:00;71.029.991.666.667;58.485.983.333.333
20171102;05:40:00;740094;61.755.258.333.333
20171102;05:45:00;763185.5;640660.75
20171102;05:50:00;74.504.183.333.333;61.876.579.166.667
20171102;05:55:00;697777;56.762.091.666.667
20171102;06:00:00;64.276.291.666.667;51.288.266.666.667
20171102;06:05:00;63.935.895.833.333;50.687.945.833.333
20171102;06:10:00;71.427.541.666.667;56.363.179.166.667
20171102;06:15:00;660251.75;524104.75
20171102;06:20:00;62.900.016.666.667;49.192.308.333.333
20171102;06:25:00;78.806.083.333.333;62.824.166.666.667
20171102;06:30:00;818158.5;64.869.416.666.667
20171102;06:35:00;77.474.291.666.667;63.871.470.833.333
20171102;06:40:00;74.507.833.333.333;62.608.995.833.333
20171102;06:45:00;76.532.266.666.667;63.682.441.666.667
20171102;06:50:00;63.874.691.666.667;49.687.904.166.667
20171102;06:55:00;63.660.508.333.333;49.441.666.666.667
20171102;07:00:00;63.612.345.833.333;492.571.375
20171102;07:05:00;64.371.020.833.333;50.034.366.666.667
20171102;07:10:00;62.019.816.666.667;47.748.883.333.333
20171102;07:15:00;60.203.283.333.333;45.553.395.833.333
20171102;07:20:00;60.271.945.833.333;45.759.233.333.333
20171102;07:25:00;61.064.791.666.667;464708.75
20171102;07:30:00;61.044.995.833.333;46.511.333.333.333
20171102;07:35:00;60.885.016.666.667;464641.75
20171102;07:40:00;57.882.108.333.333;437988.5
20171102;07:45:00;57.977.908.333.333;43.724.941.666.667
20171102;07:50:00;60.228.004.166.667;45.978.583.333.333
20171102;07:55:00;562.849.875;417697.25
20171102;08:00:00;600891;438.629.375
20171102;08:05:00;64.059.504.166.667;46.391.529.166.667
20171102;08:10:00;596180;44.044.408.333.333
20171102;08:15:00;59.569.495.833.333;44.474.870.833.333
20171102;08:20:00;669.644.125;48.296.233.333.333
20171102;08:25:00;659.945.625;47.517.245.833.333
20171102;08:30:00;84.378.916.666.667;69.326.741.666.667
20171102;08:35:00;68.355.195.833.333;51.661.391.666.667
20171102;08:40:00;70.064.258.333.333;540.332.125
20171102;08:45:00;60.419.654.166.667;43.997.641.666.667
20171102;08:50:00;606686.5;44.463.945.833.333
20171102;08:55:00;587923.25;426.970.875
20171102;09:00:00;60.192.995.833.333;44.230.108.333.333
20171102;09:05:00;57.158.395.833.333;42.252.558.333.333
20171102;09:10:00;591.141.875;43.825.833.333.333
20171102;09:15:00;61.247.658.333.333;45.213.241.666.667
20171102;09:20:00;645.185.875;48.650.445.833.333
20171102;09:25:00;688.143.875;52.467.095.833.333
20171102;09:30:00;66.583.595.833.333;50.552.979.166.667
20171102;09:35:00;63.087.554.166.667;47.486.529.166.667
20171102;09:40:00;727759.25;57.563.941.666.667
20171102;09:45:00;704559;54.914.791.666.667
20171102;09:50:00;69.671.195.833.333;538.793.375
20171102;09:55:00;784371;609.471.375
20171102;10:00:00;74.578.633.333.333;56.954.708.333.333
20171102;10:05:00;74.524.383.333.333;573487.25
20171102;10:10:00;752052.75;58.186.695.833.333
20171102;10:15:00;68.441.141.666.667;51.993.691.666.667
20171102;10:20:00;71.373.958.333.333;53.020.716.666.667
20171102;10:25:00;71.163.258.333.333;53.936.745.833.333
20171102;10:30:00;729972.75;55.611.658.333.333
20171102;10:35:00;715163;54.514.329.166.667
20171102;10:40:00;71.214.891.666.667;54.571.233.333.333
20171102;10:45:00;70.296.491.666.667;52.842.820.833.333
20171102;10:50:00;734475;56.323.016.666.667
20171102;10:55:00;75.437.566.666.667;58.367.795.833.333
20171102;11:00:00;71.057.383.333.333;54.080.608.333.333
20171102;11:05:00;712056.5;54.084.854.166.667
20171102;11:10:00;699145.75;53.388.945.833.333
20171102;11:15:00;69.176.154.166.667;522.437.625
20171102;11:20:00;68.902.645.833.333;51.526.545.833.333
20171102;11:25:00;64.571.008.333.333;46.755.279.166.667
20171102;11:30:00;62.950.020.833.333;45.304.033.333.333
20171102;11:35:00;56.976.758.333.333;425.205.125
20171102;11:40:00;60.570.970.833.333;456.825.875
20171102;11:45:00;618.407.375;46.663.604.166.667
20171102;11:50:00;65.880.891.666.667;50.808.395.833.333
20171102;11:55:00;64.340.079.166.667;49.846.016.666.667
20171102;12:00:00;565372.75;43.346.045.833.333
20171102;12:05:00;546.197.375;400226.75
20171102;12:10:00;503061.75;36.185.154.166.667
20171102;12:15:00;451.939.875;32.287.141.666.667
20171102;12:20:00;52.561.895.833.333;39.806.695.833.333
20171102;12:25:00;562.100.625;44.035.595.833.333
20171102;12:30:00;584.528.625;45.842.870.833.333
20171102;12:35:00;58.033.816.666.667;45.504.966.666.667
20171102;12:40:00;52.340.708.333.333;39.984.245.833.333
20171102;12:45:00;50.624.816.666.667;38.714.516.666.667
20171102;12:50:00;529.319.125;40.948.045.833.333
20171102;12:55:00;51.009.533.333.333;38.927.470.833.333
20171102;13:00:00;475.231.375;354010.25
20171102;13:05:00;48.856.145.833.333;36.904.908.333.333
20171102;13:10:00;46.750.420.833.333;35.042.704.166.667
20171102;13:15:00;46.901.066.666.667;34.750.266.666.667
20171102;13:20:00;47.494.833.333.333;352176.75
20171102;13:25:00;46.768.529.166.667;345605.5
20171102;13:30:00;46.375.954.166.667;34.154.397.916.667
